audio,text,IPA,FailedWord
1,阳光洒在窗台上，暖洋洋的。,jɑŋ˧˥ kwɑŋ˥˥ sa˨ tsaɪ˥˩ ʈʂʰwɑŋ˥˥ tʰaɪ˥ ʂɑŋ˥˩ ， nau˨ jɑŋ˧˥ jɑŋ˧˥ ti˥˩ 。,
2,星星闪烁，点缀着深邃夜空。,ɕɪŋ˥˥ ɕɪŋ˥˥ ʂan˨˩˦ ʂuɔ˥˩ ， tjɛn˨˩˦ ʈʂweɪ˥˩ ʈʂɤ˧˥ ʂən˥˥ sweɪ˥˩ jɛ˥˩ kʰʊŋ˥˥ 。,
3,咖啡的香气弥漫，让人心生惬意。,kʰa˥˥ feɪ˥˥ ti˥˩ ɕjɑŋ˥˥ i˥˩ mi˧˥ man˥˩ ， ʐɑŋ˥˩ ʐən˧˥ ɕɪn˥˥ ʂɤŋ˥˥ i˥˩ 。,
4,鸟儿在枝头欢快地歌唱不停。,njɑʊ˨˩˦ ɚ tsaɪ˥˩ ʈʂɚ˥˥ tou˥ xwan˥˥ kʰuaɪ˥˩ ti˥˩ kɤ˥˥ ʈʂʰɑŋ˥˩ pu˥˩ tʰɪŋ˧˥ 。,
5,这本书的故事引人入胜，无法自拔。,ʈʂɤ˥˥ pən˨˩˦ ʂu˥˥ ti˥˩ ku˥˩ ʂɚ˥˩ ɪn˨˩˦ ʐən˧˥ ʐu˥˩ ʂɤŋ˥˩ ， u˧˥ fa˨˩˦ tsɯ˥˩ pa˧˥ 。,
6,雨水敲打着窗户，声声入耳。,y˨˩˦ ʂweɪ˨˩˦ tɕʰjɑʊ˥˥ ta˨˩˦ ʈʂɤ˧˥ ʈʂʰwɑŋ˥˥ xu˥˩ ， ʂɤŋ˥˥ ʂɤŋ˥˥ ʐu˥˩ ɚ˨ 。,
7,今天的晚餐，要做一份香喷喷的菜。,tɕɪn˥˥ tʰjɛn˥˥ ti˥˩ wan˨˩˦ tsʰan˥˥ ， ˥yao tsuɔ˥˩ i˨ fən ɕjɑŋ˥˥ pʰən˥˥ pʰən˥˥ ti˥˩ tsʰaɪ˥˩ 。,
8,孩子们在草地上快乐地奔跑玩耍。,xaɪ˧˥ tsɯ˧ mən˧ tsaɪ˥˩ tsʰɑʊ˨˩˦ ti˥˩ ʂɑŋ˥˩ kʰuaɪ˥˩ lɤ˥˩ ti˥˩ pən˥˥ pʰɑʊ˨˩˦ wan˧˥ ʂwa˨˩˦ 。,
9,音乐的旋律，让人心情愉悦平和。,ɪn˥˥ ɥœ˥˩ ti˥˩ ɕɥœn˧˥ ly˥˩ ， ʐɑŋ˥˩ ʐən˧˥ ɕɪn˥˥ tɕʰɪŋ˧˥ ɥœ˥˩ pʰɪŋ˧˥ xɤ˧˥ 。,
10,晚霞染红了天边，美不胜收。,wan˨˩˦ ɕja˧˥ ʐan˨˩˦ xʊŋ˧˥ ɥœ˥˩ tʰjɛn˥˥ pjɛn˥˥ ， meɪ˨˩˦ pu˧˥ ˥ʂɤŋ ʂoʊ˥˥ 。,
11,他默默地走在回家的路上。,tʰa˥˥ mɔ˥˩ mɔ˥˩ ti˥˩ tsoʊ˨˩˦ tsaɪ˥˩ xweɪ˧˥ tɕja˥˥ ti˥˩ lu˥˩ ʂɑŋ˧ 。,
12,这幅画色彩鲜艳，充满活力。,ʈʂɤ˥˥ fu˧˥ xwa˥˩ sɤ˥˩ tsʰaɪ˨˩˦ ɕjɛn˥˥ jɛn˥˩ ， ʈʂʰʊŋ˥˥ man˨˩˦ xuɔ˧˥ li˥˩ 。,
13,花儿盛开，点缀着美丽庭院。,xwa˥˥ aɻ˧ ʂɤŋ˥˩ kʰaɪ˥˥ ， tjɛn˨˩˦ ʈʂweɪ˥˩ ʈʂɤ˧˥ meɪ˨˩˦ li˥˩ tʰɪŋ˧˥ ɥœn˥˩ 。,
